127.0.0.1 - - [04/Dec/2016:19:37:36 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:37:41 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:37:41 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:38:22 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:38:22 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:38:52 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:38:52 +0800] "GET /images/xiaokeai.png HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:38:57 +0800] "GET /UserMVC/login.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:12 +0800] "POST /UserMVC/handleDatabase HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:18 +0800] "GET /images/xiaokeai.png HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:36 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:39:36 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:40:41 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:40:41 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:02 +0800] "GET /UserMVC/login.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:09 +0800] "GET /UserMVC/login.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:13 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:13 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:15 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:15 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/index.jsp HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [04/Dec/2016:19:41:16 +0800] "GET /UserMVC/xiaokeai.png HTTP/1.1" 404 991
